feature_name,feature_importance
fnlwgt,0.2334439226525493
age-group,0.08285801550246628
education-num,0.07884940627236606
marital-status_married-civ-spouse,0.06418038291386782
capitalgain,0.06326886323934436
hoursperweek,0.05228877694693745
education,0.04567847042370488
marital-status_never-married,0.03734272582080104
relationship_husband,0.032259580282065124
relationship_own-child,0.019554659262350248
capitalloss,0.017889588548531916
occupation_exec-managerial,0.016003474084782476
relationship_not-in-family,0.01593648660468408
occupation_prof-specialty,0.014673866726104639
sex_female,0.013053344682122917
workclass_private,0.012895854064906016
relationship_wife,0.01242069007834502
occupation_other-service,0.01233176426725458
sex_male,0.010604329562302891
workclass_self-emp-not-inc,0.0097325072112755
marital-status_divorced,0.00960260342815023
relationship_unmarried,0.00903982109933228
occupation_sales,0.008278557240534045
occupation_craft-repair,0.007959953112719425
occupation_adm-clerical,0.007610399380357126
workclass_local-gov,0.007268777107790748
race_white,0.007116419423234347
workclass_self-emp-inc,0.006481320697010987
occupation_farming-fishing,0.005940721870790051
occupation_machine-op-inspct,0.005933180229230765
race_black,0.005871926598655269
workclass_state-gov,0.005835859404815076
occupation_transport-moving,0.005574647772946496
occupation_handlers-cleaners,0.004732573849116622
occupation_tech-support,0.004645812217234563
workclass_federal-gov,0.004645777890460499
occupation_protective-serv,0.003756661486580372
native-country_united-states,0.003466581002952153
native-country-code_USA,0.0032615131670490453
marital-status_separated,0.0027671862883097815
race_asian-pac-islander,0.0026521741803320477
marital-status_widowed,0.002365151653947517
relationship_other-relative,0.0023169325014133213
native-country_mexico,0.0019612191999934365
native-country-code_MEX,0.0019421315122417381
race_amer-indian-eskimo,0.00163074533269351
marital-status_married-spouse-absent,0.0012781474021107775
native-country-code_CAN,0.0006987191262658165
race_other,0.0006966002076195442
native-country_canada,0.0006555895494691928
native-country_philippines,0.0006452369174837844
native-country_germany,0.0006313367621973846
native-country-code_PHL,0.000597086789523702
native-country_england,0.0005776795920499506
native-country-code_CUB,0.0005726793001681742
marital-status_married-af-spouse,0.0005723456951489954
native-country_cuba,0.0005556087894896767
native-country-code_DUE,0.0005471437803192919
native-country-code_GBR,0.0005150719666842394
native-country_italy,0.00046294893398859217
native-country_japan,0.00044157350772018014
native-country-code_JPN,0.0004342828507354095
native-country_india,0.0004239829940338385
native-country-code_IND,0.00042356202066699757
native-country-code_ITA,0.0004169259306452522
native-country_portugal,0.00040471463406576227
native-country-code_CHN,0.0004011469569556085
native-country-code_PRT,0.0003563743834440131
occupation_priv-house-serv,0.00035320977495655715
native-country_puerto-rico,0.0003468871340220173
native-country_china,0.00034600801421599944
native-country-code_GRC,0.0003370516108598137
native-country-code_POL,0.0003322170511398366
native-country_greece,0.0003222621718441111
native-country-code_PRI,0.0003082224283667084
native-country-code_SLV,0.0003029062143114801
native-country_el-salvador,0.00030018468280903945
native-country_poland,0.0002976491628634303
native-country_south,0.0002788463752746261
native-country-code_ZAF,0.0002639578427303642
native-country_peru,0.00021830126590248797
native-country-code_DOM,0.00021810364172813917
native-country_dominican-republic,0.00021789542964478146
native-country-code_JAM,0.0002081771249837635
native-country_jamaica,0.0002061279445648638
native-country-code_TWN,0.00020194900962446495
native-country-code_KHM,0.00019932737152782558
native-country_taiwan,0.00019472405053579277
native-country_iran,0.00019384748559027302
native-country-code_IRN,0.00019152044883939578
native-country-code_PER,0.00018861697251551393
native-country-code_COL,0.00018312124184564752
native-country_ecuador,0.00017927232872599452
native-country-code_ECU,0.00017806622732763656
native-country_ireland,0.0001669926844950705
native-country_columbia,0.0001624815444801335
native-country-code_FRA,0.00015999089339309157
native-country_france,0.0001536426865798235
native-country_cambodia,0.000152158392958261
native-country-code_IRL,0.0001509248880173724
native-country-code_GTM,0.00014787139040988524
native-country_hungary,0.00013458659626754992
native-country-code_HUN,0.0001340876448133954
workclass_without-pay,0.00012880783338254322
native-country-code_LAO,0.00012765767309063581
native-country-code_HTI,0.00012489055812705106
native-country_laos,0.00011807433565260091
native-country_guatemala,0.00011771590583165229
native-country_hong,0.00011419922158622953
native-country_haiti,0.00011371411203886118
native-country_trinadad&tobago,0.00010975268308010595
native-country-code_HKG,0.00010031014578331703
native-country_vietnam,9.76615635898731e-05
native-country-code_VNM,8.680718836479612e-05
native-country-code_TTO,8.648199275117092e-05
native-country_nicaragua,8.62551998195305e-05
native-country-code_NIC,8.092513498373037e-05
native-country_yugoslavia,5.06338620241615e-05
native-country-code_THA,4.658764036574e-05
native-country_thailand,4.572341313673359e-05
occupation_armed-forces,4.3038181038650634e-05
native-country-code_YUG,4.2969339161058696e-05
native-country_scotland,3.636505026322558e-05
native-country-code_UMI,2.7874593240150612e-05
native-country_outlying-us(guam-usvi-etc),2.1517886437702305e-05
native-country-code_HND,1.4849967679959964e-05
native-country_honduras,7.205857757698105e-06
native-country_holand-netherlands,2.7610658302364357e-06
native-country-code_NLD,1.9149813771157466e-06
